Team,Continent,Away Continent
Scotland,Europe,Europe
Wales,Europe,Europe
England,Europe,Europe
Northern Ireland,Europe,Europe
Canada,America,America
Qatar,Asia,Asia
Ecuador,America,America
Senegal,Africa,Africa
Netherlands,Europe,Europe
Iran,Asia,Asia
United States,America,America
France,Europe,Europe
Australia,Oceania,Oceania
Denmark,Europe,Europe
Tunisia,Africa,Africa
Mexico,America,America
Poland,Europe,Europe
Argentina,America,America
Saudi Arabia,Asia,Asia
Belgium,Europe,Europe
Spain,Europe,Europe
Costa Rica,America,America
Germany,Europe,Europe
Japan,Asia,Asia
Morocco,Africa,Africa
Croatia,Europe,Europe
Switzerland,Europe,Europe
Cameroon,Africa,Africa
Uruguay,America,America
South Korea,Asia,Asia
Portugal,Europe,Europe
Ghana,Africa,Africa
Brazil,America,America
Serbia,Europe,Europe
Ukraine,Europe,Europe
Czech Republic,Europe,Europe
Greece,Europe,Europe
Italy,Europe,Europe
Austria,Europe,Europe
Hungary,Europe,Europe
Romania,Europe,Europe
Bulgaria,Europe,Europe
Slovenia,Europe,Europe
Slovakia,Europe,Europe
Iceland,Europe,Europe
Norway,Europe,Europe
Sweden,Europe,Europe
Finland,Europe,Europe
Lithuania,Europe,Europe
Latvia,Europe,Europe
Estonia,Europe,Europe
Russia,Europe,Europe
Belarus,Europe,Europe
Moldova,Europe,Europe
Albania,Europe,Europe
Bosnia and Herzegovina,Europe,Europe
Macedonia,Europe,Europe
Montenegro,Europe,Europe
Turkey,Europe,Europe
Georgia,Europe,Europe
Armenia,Europe,Europe
Azerbaijan,Europe,Europe
Kazakhstan,Asia,Asia
Uzbekistan,Asia,Asia
Turkmenistan,Asia,Asia
Tajikistan,Asia,Asia
Kyrgyzstan,Asia,Asia
Mongolia,Asia,Asia
China,Asia,Asia
India,Asia,Asia
Pakistan,Asia,Asia
Bangladesh,Asia,Asia
Nepal,Asia,Asia
Sri Lanka,Asia,Asia
Myanmar,Asia,Asia
Thailand,Asia,Asia
Vietnam,Asia,Asia
Laos,Asia,Asia
Cambodia,Asia,Asia
Malaysia,Asia,Asia
Singapore,Asia,Asia
Indonesia,Asia,Asia
Philippines,Asia,Asia
Taiwan,Asia,Asia
Hong Kong,Asia,Asia
Lebanon,Asia,Asia
Israel,Asia,Asia
Palestine,Asia,Asia
Jordan,Asia,Asia
Syria,Asia,Asia
Iraq,Asia,Asia
Kuwait,Asia,Asia
Bahrain,Asia,Asia
United Arab Emirates,Asia,Asia
Oman,Asia,Asia
Yemen,Asia,Asia
Egypt,Africa,Africa
Sudan,Africa,Africa
Libya,Africa,Africa
Algeria,Africa,Africa
Mauritania,Africa,Africa
Mali,Africa,Africa
Gambia,Africa,Africa
Guinea-Bissau,Africa,Africa
Guinea,Africa,Africa
Sierra Leone,Africa,Africa
Liberia,Africa,Africa
Ivory Coast,Africa,Africa
Burkina Faso,Africa,Africa
Togo,Africa,Africa
Benin,Africa,Africa
Niger,Africa,Africa
Nigeria,Africa,Africa
Chad,Africa,Africa
Central African Republic,Africa,Africa
Equatorial Guinea,Africa,Africa
Gabon,Africa,Africa
Republic of the Congo,Africa,Africa
Democratic Republic of the Congo,Africa,Africa
Angola,Africa,Africa
Zambia,Africa,Africa
Zimbabwe,Africa,Africa
Botswana,Africa,Africa
Namibia,Africa,Africa
South Africa,Africa,Africa
Lesotho,Africa,Africa
Eswatini,Africa,Africa
Mozambique,Africa,Africa
Madagascar,Africa,Africa
Mauritius,Africa,Africa
Seychelles,Africa,Africa
Rwanda,Africa,Africa
Burundi,Africa,Africa
Uganda,Africa,Africa
Kenya,Africa,Africa
Tanzania,Africa,Africa
Ethiopia,Africa,Africa
Eritrea,Africa,Africa
Djibouti,Africa,Africa
Somalia,Africa,Africa
Malawi,Africa,Africa
Chile,America,America
Colombia,America,America
Peru,America,America
Venezuela,America,America
Guyana,America,America
Suriname,America,America
Paraguay,America,America
Bolivia,America,America
New Zealand,Oceania,Oceania
Fiji,Oceania,Oceania
Samoa,Oceania,Oceania
Vanuatu,Oceania,Oceania
Solomon Islands,Oceania,Oceania
Tonga,Oceania,Oceania
Kiribati,Oceania,Oceania
Nauru,Oceania,Oceania
Palau,Oceania,Oceania
Marshall Islands,Oceania,Oceania
Micronesia,Oceania,Oceania
Papua New Guinea,Oceania,Oceania
